"vector:0","vector:1","vector:2","scalar1","scalar2","scalar3","arc_length","Points:0","Points:1","Points:2"
-0.49753,-0.49753,0,0.0013066,0.0013066,0.0013066,8.1567,-0.1308,-1.4926,0
-0.49215,-0.49215,0,0.0028909,0.0028909,0.0028909,8.2881,-0.26116,-1.4764,0
-0.49077,-0.49077,0,0.0034073,0.0034073,0.0034073,8.3102,-0.28295,-1.4723,0
-0.48561,-0.48561,0,0.004564,0.004564,0.004564,8.3794,-0.35038,-1.4568,0
-0.47974,-0.47974,0,0.0072821,0.0072821,0.0072821,8.4468,-0.41543,-1.4392,0
-0.47521,-0.47521,0,0.0086173,0.0086173,0.0086173,8.495,-0.46167,-1.4256,0
-0.46489,-0.46489,0,0.015232,0.015232,0.015232,8.5845,-0.54567,-1.3947,0
-0.46001,-0.46001,0,0.017246,0.017246,0.017246,8.6263,-0.58483,-1.38,0
-0.45085,-0.45085,0,0.02372,0.02372,0.02372,8.6911,-0.64347,-1.3526,0
-0.4407,-0.4407,0,0.032718,0.032718,0.032718,8.7595,-0.70475,-1.3221,0
-0.43217,-0.43217,0,0.041696,0.041696,0.041696,8.8131,-0.7518,-1.2965,0
-0.42243,-0.42243,0,0.050148,0.050148,0.050148,8.869,-0.79944,-1.2673,0
-0.40559,-0.40559,0,0.070239,0.070239,0.070239,8.9614,-0.87681,-1.2168,0
-0.40475,-0.40475,0,0.071212,0.071212,0.071212,8.9658,-0.88044,-1.2143,0
-0.40441,-0.40441,0,0.071812,0.071812,0.071812,8.9675,-0.88183,-1.2132,0
-0.40353,-0.40353,0,0.073214,0.073214,0.073214,8.9719,-0.88534,-1.2106,0
-0.3844,-0.3844,0,0.10288,0.10288,0.10288,9.0637,-0.95699,-1.1532,0
-0.37744,-0.37744,0,0.11196,0.11196,0.11196,9.0955,-0.98095,-1.1323,0
-0.3537,-0.3537,0,0.15413,0.15413,0.15413,9.2013,-1.0592,-1.0611,0
-0.35072,-0.35072,0,0.15873,0.15873,0.15873,9.214,-1.0682,-1.0522,0
-0.32321,-0.32321,0,0.21379,0.21379,0.21379,9.326,-1.1439,-0.96962,0
-0.31983,-0.31983,0,0.22046,0.22046,0.22046,9.3392,-1.1524,-0.95949,0
-0.29955,-0.29955,0,0.26266,0.26266,0.26266,9.4153,-1.1981,-0.89866,0
