"vector:0","vector:1","vector:2","scalar1","scalar2","scalar3","arc_length","Points:0","Points:1","Points:2"
0.43446,0.43446,0,9.8837e-06,9.8837e-06,9.8837e-06,2.5445,-0.74195,1.3034,0
0.43953,0.43953,0,8.6969e-06,8.6969e-06,8.6969e-06,2.576,-0.71437,1.3186,0
0.446,0.446,0,6.309e-06,6.309e-06,6.309e-06,2.6179,-0.67722,1.338,0
0.45219,0.45219,0,3.6791e-06,3.6791e-06,3.6791e-06,2.6601,-0.63928,1.3566,0
0.45528,0.45528,0,2.8026e-06,2.8026e-06,2.8026e-06,2.6821,-0.61941,1.3658,0
0.45908,0.45908,0,1.9147e-06,1.9147e-06,1.9147e-06,2.7108,-0.59302,1.3772,0
0.46329,0.46329,0,7.6793e-07,7.6793e-07,7.6793e-07,2.7431,-0.56333,1.3899,0
0.46817,0.46817,0,-2.0833e-07,-2.0833e-07,-2.0833e-07,2.7833,-0.5259,1.4045,0
0.47044,0.47044,0,-2.8298e-07,-2.8298e-07,-2.8298e-07,2.8028,-0.50755,1.4113,0
0.47216,0.47216,0,-2.8484e-07,-2.8484e-07,-2.8484e-07,2.8188,-0.49245,1.4165,0
0.47639,0.47639,0,-1.4449e-08,-1.4449e-08,-1.4449e-08,2.8595,-0.45375,1.4292,0
0.47981,0.47981,0,-3.8518e-08,-3.8518e-08,-3.8518e-08,2.8939,-0.42098,1.4394,0
0.4816,0.4816,0,-5.7792e-10,-5.7792e-10,-5.7792e-10,2.9137,-0.40184,1.4448,0
0.48631,0.48631,0,-4.3742e-08,-4.3742e-08,-4.3742e-08,2.969,-0.3484,1.4589,0
0.48642,0.48642,0,-4.3631e-08,-4.3631e-08,-4.3631e-08,2.9703,-0.34711,1.4593,0
0.4905,0.4905,0,-3.4724e-08,-3.4724e-08,-3.4724e-08,3.0287,-0.29003,1.4715,0
0.49095,0.49095,0,-3.5618e-08,-3.5618e-08,-3.5618e-08,3.0356,-0.28333,1.4729,0
0.49184,0.49184,0,-2.5872e-08,-2.5872e-08,-2.5872e-08,3.0509,-0.26823,1.4755,0
0.49399,0.49399,0,-3.7068e-08,-3.7068e-08,-3.7068e-08,3.0895,-0.23014,1.482,0
0.4953,0.4953,0,-1.286e-08,-1.286e-08,-1.286e-08,3.1166,-0.20331,1.4859,0
0.49618,0.49618,0,-2.861e-08,-2.861e-08,-2.861e-08,3.1373,-0.18278,1.4886,0
0.49711,0.49711,0,-2.3872e-08,-2.3872e-08,-2.3872e-08,3.1629,-0.15735,1.4913,0
0.49822,0.49822,0,-1.2219e-08,-1.2219e-08,-1.2219e-08,3.1987,-0.12173,1.4947,0
0.49931,0.49931,0,2.0064e-09,2.0064e-09,2.0064e-09,3.2477,-0.07283,1.4979,0
0.49956,0.49956,0,6.0584e-10,6.0584e-10,6.0584e-10,3.2606,-0.059934,1.4987,0
0.49963,0.49963,0,-9.8834e-11,-9.8834e-11,-9.8834e-11,3.2711,-0.049483,1.4989,0
0.49979,0.49979,0,3.8282e-10,3.8282e-10,3.8282e-10,3.3449,0.024346,1.4994,0
0.49925,0.49925,0,-4.9356e-10,-4.9356e-10,-4.9356e-10,3.3897,0.069114,1.4977,0
0.49866,0.49866,0,-9.8759e-10,-9.8759e-10,-9.8759e-10,3.4232,0.10252,1.496,0
