"psi","forces:0","forces:1","forces:2","vort","mu","rho","temperature","pressure","velocity:0","velocity:1","velocity:2","ALE_velocity:0","ALE_velocity:1","ALE_velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.43147,0,0,0,3.1016,0,0,0.1248,0,2.3456,0.010598,0,0,0,0,1,0.16875,5,0.16875,0
0.43456,0,0,0,3.1219,0,0,0.12624,0,2.3408,0.010804,0,0,0,0,1,0.17011,5,0.17011,0
0.43764,0,0,0,3.1421,0,0,0.12768,0,2.3361,0.01101,0,0,0,0,1,0.17147,5,0.17147,0
0.44072,0,0,0,3.1623,0,0,0.12912,0,2.3313,0.011216,0,0,0,0,1,0.17283,5,0.17283,0
0.44381,0,0,0,3.1826,0,0,0.13056,0,2.3265,0.011422,0,0,0,0,1,0.1742,5,0.1742,0
0.44689,0,0,0,3.2028,0,0,0.13201,0,2.3218,0.011628,0,0,0,0,1,0.17556,5,0.17556,0
0.44998,0,0,0,3.223,0,0,0.13345,0,2.317,0.011834,0,0,0,0,1,0.17692,5,0.17692,0
0.45306,0,0,0,3.2433,0,0,0.13489,0,2.3123,0.01204,0,0,0,0,1,0.17828,5,0.17828,0
0.45614,0,0,0,3.2635,0,0,0.13633,0,2.3075,0.012246,0,0,0,0,1,0.17964,5,0.17964,0
0.45923,0,0,0,3.2837,0,0,0.13777,0,2.3028,0.012451,0,0,0,0,1,0.181,5,0.181,0
0.46231,0,0,0,3.304,0,0,0.13921,0,2.298,0.012657,0,0,0,0,1,0.18236,5,0.18236,0
0.4654,0,0,0,3.3242,0,0,0.14065,0,2.2932,0.012863,0,0,0,0,1,0.18372,5,0.18372,0
0.46848,0,0,0,3.3444,0,0,0.14209,0,2.2885,0.013069,0,0,0,0,1,0.18508,5,0.18508,0
0.47156,0,0,0,3.3647,0,0,0.14353,0,2.2837,0.013275,0,0,0,0,1,0.18644,5,0.18644,0
0.47465,0,0,0,3.3849,0,0,0.14498,0,2.279,0.013481,0,0,0,0,1,0.1878,5,0.1878,0
0.47775,0,0,0,3.4047,0,0,0.14639,0,2.2743,0.013671,0,0,0,0,1,0.18917,5,0.18917,0
0.48085,0,0,0,3.4245,0,0,0.1478,0,2.2696,0.01386,0,0,0,0,1,0.19053,5,0.19053,0
0.48395,0,0,0,3.4443,0,0,0.1492,0,2.2649,0.014048,0,0,0,0,1,0.19189,5,0.19189,0
0.48705,0,0,0,3.4641,0,0,0.15061,0,2.2603,0.014237,0,0,0,0,1,0.19325,5,0.19325,0
0.49015,0,0,0,3.4838,0,0,0.15202,0,2.2556,0.014425,0,0,0,0,1,0.19461,5,0.19461,0
0.49325,0,0,0,3.5036,0,0,0.15343,0,2.2509,0.014613,0,0,0,0,1,0.19597,5,0.19597,0
0.49635,0,0,0,3.5234,0,0,0.15484,0,2.2462,0.014802,0,0,0,0,1,0.19733,5,0.19733,0
0.49946,0,0,0,3.5432,0,0,0.15625,0,2.2415,0.01499,0,0,0,0,1,0.19869,5,0.19869,0
0.50256,0,0,0,3.5629,0,0,0.15765,0,2.2369,0.015179,0,0,0,0,1,0.20005,5,0.20005,0
0.50566,0,0,0,3.5827,0,0,0.15906,0,2.2322,0.015367,0,0,0,0,1,0.20141,5,0.20141,0
0.50876,0,0,0,3.6025,0,0,0.16047,0,2.2275,0.015555,0,0,0,0,1,0.20277,5,0.20277,0
0.51186,0,0,0,3.6223,0,0,0.16188,0,2.2228,0.015744,0,0,0,0,1,0.20414,5,0.20414,0
0.51496,0,0,0,3.642,0,0,0.16329,0,2.2182,0.015932,0,0,0,0,1,0.2055,5,0.2055,0
0.51806,0,0,0,3.6618,0,0,0.1647,0,2.2135,0.016121,0,0,0,0,1,0.20686,5,0.20686,0
0.52116,0,0,0,3.6816,0,0,0.16611,0,2.2088,0.016309,0,0,0,0,1,0.20822,5,0.20822,0
0.52426,0,0,0,3.7014,0,0,0.16751,0,2.2041,0.016497,0,0,0,0,1,0.20958,5,0.20958,0
0.52737,0,0,0,3.7211,0,0,0.16892,0,2.1995,0.016686,0,0,0,0,1,0.21094,5,0.21094,0
0.53047,0,0,0,3.7409,0,0,0.17033,0,2.1948,0.016874,0,0,0,0,1,0.2123,5,0.2123,0
0.53357,0,0,0,3.7607,0,0,0.17174,0,2.1901,0.017063,0,0,0,0,1,0.21366,5,0.21366,0
0.53667,0,0,0,3.7805,0,0,0.17315,0,2.1854,0.017251,0,0,0,0,1,0.21502,5,0.21502,0
0.53977,0,0,0,3.8002,0,0,0.17456,0,2.1808,0.017439,0,0,0,0,1,0.21638,5,0.21638,0
0.54287,0,0,0,3.82,0,0,0.17596,0,2.1761,0.017628,0,0,0,0,1,0.21774,5,0.21774,0
0.54597,0,0,0,3.8398,0,0,0.17737,0,2.1714,0.017816,0,0,0,0,1,0.2191,5,0.2191,0
0.549,0,0,0,3.8597,0,0,0.17887,0,2.1664,0.018008,0,0,0,0,1,0.22047,5,0.22047,0
0.55179,0,0,0,3.88,0,0,0.18067,0,2.1605,0.01821,0,0,0,0,1,0.22183,5,0.22183,0
0.55457,0,0,0,3.9003,0,0,0.18246,0,2.1546,0.018412,0,0,0,0,1,0.22319,5,0.22319,0
0.55735,0,0,0,3.9206,0,0,0.18426,0,2.1486,0.018615,0,0,0,0,1,0.22455,5,0.22455,0
0.56014,0,0,0,3.9409,0,0,0.18606,0,2.1427,0.018817,0,0,0,0,1,0.22591,5,0.22591,0
0.56292,0,0,0,3.9612,0,0,0.18785,0,2.1367,0.019019,0,0,0,0,1,0.22727,5,0.22727,0
0.56571,0,0,0,3.9815,0,0,0.18965,0,2.1308,0.019222,0,0,0,0,1,0.22863,5,0.22863,0
0.56849,0,0,0,4.0018,0,0,0.19144,0,2.1248,0.019424,0,0,0,0,1,0.22999,5,0.22999,0
0.57128,0,0,0,4.0221,0,0,0.19324,0,2.1189,0.019626,0,0,0,0,1,0.23135,5,0.23135,0
0.57406,0,0,0,4.0424,0,0,0.19504,0,2.113,0.019829,0,0,0,0,1,0.23271,5,0.23271,0
0.57685,0,0,0,4.0627,0,0,0.19683,0,2.107,0.020031,0,0,0,0,1,0.23407,5,0.23407,0
0.57963,0,0,0,4.083,0,0,0.19863,0,2.1011,0.020233,0,0,0,0,1,0.23544,5,0.23544,0
0.58242,0,0,0,4.1033,0,0,0.20043,0,2.0951,0.020436,0,0,0,0,1,0.2368,5,0.2368,0
0.5852,0,0,0,4.1236,0,0,0.20222,0,2.0892,0.020638,0,0,0,0,1,0.23816,5,0.23816,0
0.58799,0,0,0,4.1439,0,0,0.20402,0,2.0832,0.02084,0,0,0,0,1,0.23952,5,0.23952,0
0.59077,0,0,0,4.1643,0,0,0.20582,0,2.0773,0.021045,0,0,0,0,1,0.24088,5,0.24088,0
0.59355,0,0,0,4.1851,0,0,0.20765,0,2.0713,0.021268,0,0,0,0,1,0.24224,5,0.24224,0
0.59633,0,0,0,4.206,0,0,0.20947,0,2.0653,0.02149,0,0,0,0,1,0.2436,5,0.2436,0
0.59911,0,0,0,4.2268,0,0,0.2113,0,2.0593,0.021712,0,0,0,0,1,0.24496,5,0.24496,0
0.60189,0,0,0,4.2477,0,0,0.21313,0,2.0533,0.021935,0,0,0,0,1,0.24632,5,0.24632,0
0.60466,0,0,0,4.2685,0,0,0.21496,0,2.0473,0.022157,0,0,0,0,1,0.24768,5,0.24768,0
