"vector:0","vector:1","vector:2","scalar1","scalar2","scalar3","Points:0","Points:1","Points:2"
0,0,0,4.1833,4.1833,0.5,8.8103,1,0
0,0,0,4.0654,4.0654,0.5,8.8698,1,0
0,0,0,4.0251,4.0251,0.5,8.9293,1,0
0,0,0,4.0033,4.0033,0.5,8.9888,1,0
0,0,0,4.3246,4.3246,0.5,9.0483,1,0
0,0,0,4.6187,4.6187,0.5,9.1078,1,0
0,0,0,3.9561,3.9561,0.5,9.1672,1,0
0,0,0,4.1704,4.1704,0.5,9.2267,1,0
0,0,0,4.2953,4.2953,0.5,9.2862,1,0
0,0,0,4.183,4.183,0.5,9.3457,1,0
0,0,0,4.2878,4.2878,0.5,9.4052,1,0
0,0,0,3.9956,3.9956,0.5,9.4647,1,0
0,0,0,4.2038,4.2038,0.5,9.5241,1,0
0,0,0,4.1641,4.1641,0.5,9.5836,1,0
0,0,0,4.204,4.204,0.5,9.6431,1,0
0,0,0,4.1418,4.1418,0.5,9.7026,1,0
0,0,0,4.238,4.238,0.5,9.7621,1,0
0,0,0,4.1484,4.1484,0.5,9.8216,1,0
0,0,0,4.1672,4.1672,0.5,9.881,1,0
0,0,0,4.1937,4.1937,0.5,9.9405,1,0
0.23868,0,0,3.8903,3.8903,0.49286,10,0.94118,0
0.46101,0,0,3.6207,3.6207,0.47406,10,0.88235,0
0.66207,0,0,3.3396,3.3396,0.44585,10,0.82353,0
0.8542,0,0,3.0543,3.0543,0.41044,10,0.76471,0
1.0387,0,0,2.7675,2.7675,0.36969,10,0.70588,0
1.1746,0,0,2.4819,2.4819,0.32568,10,0.64706,0
1.3078,0,0,2.2015,2.2015,0.28041,10,0.58824,0
1.4424,0,0,1.9275,1.9275,0.23512,10,0.52941,0
1.5343,0,0,1.6623,1.6623,0.1913,10,0.47059,0
1.6431,0,0,1.4095,1.4095,0.15009,10,0.41176,0
1.6866,0,0,1.1707,1.1707,0.11254,10,0.35294,0
1.7606,0,0,0.94499,0.94499,0.079439,10,0.29412,0
1.7998,0,0,0.73405,0.73405,0.0515,10,0.23529,0
1.785,0,0,0.53408,0.53408,0.029255,10,0.17647,0
1.8425,0,0,0.34461,0.34461,0.012922,10,0.11765,0
1.646,0,0,0.15938,0.15938,0.0033375,10,0.058824,0
2.7775,0,0,0.034385,0.034385,0,9.9401,0,0
2.5878,0,0,0.036172,0.036172,0,9.8802,0,0
2.5713,0,0,0.036197,0.036197,0,9.8204,0,0
2.6457,0,0,0.035982,0.035982,0,9.7605,0,0
2.4735,0,0,0.036414,0.036414,0,9.7006,0,0
2.9335,0,0,0.033881,0.033881,0,9.6407,0,0
2.4221,0,0,0.03458,0.03458,0,9.5808,0,0
3.2417,0,0,0.029335,0.029335,0,9.521,0,0
2.3643,0,0,0.034263,0.034263,0,9.4611,0,0
2.8047,0,0,0.034847,0.034847,0,9.4012,0,0
2.9341,0,0,0.032162,0.032162,0,9.3413,0,0
2.5276,0,0,0.037224,0.037224,0,9.2814,0,0
2.5911,0,0,0.035996,0.035996,0,9.2216,0,0
2.7225,0,0,0.032874,0.032874,0,9.1617,0,0
2.7111,0,0,0.033081,0.033081,0,9.1018,0,0
2.345,0,0,0.035047,0.035047,0,9.0419,0,0
2.8018,0,0,0.03157,0.03157,0,8.982,0,0
2.7415,0,0,0.032597,0.032597,0,8.9222,0,0
2.6187,0,0,0.034507,0.034507,0,8.8623,0,0
2.6846,0,0,0.036243,0.036243,0,8.8024,0,0
2.6952,0,0,0.037591,0.037591,0,8.7425,0,0
2.4189,0,0,0.036787,0.036787,0,8.6826,0,0
2.9436,0,0,0.031212,0.031212,0,8.6228,0,0
2.5901,0,0,0.029135,0.029135,0,8.5629,0,0
2.6544,0,0,0.028905,0.028905,0,8.503,0,0
2.6805,0,0,0.028305,0.028305,0,8.4431,0,0
2.8445,0,0,0.030475,0.030475,0,8.3832,0,0
2.2238,0,0,0.035128,0.035128,0,8.3234,0,0
2.8124,0,0,0.031068,0.031068,0,8.2635,0,0
2.705,0,0,0.031982,0.031982,0,8.2036,0,0
2.6051,0,0,0.034809,0.034809,0,8.1437,0,0
2.5607,0,0,0.030916,0.030916,0,8.0838,0,0
3.0658,0,0,0.028891,0.028891,0,8.024,0,0
2.2427,0,0,0.032367,0.032367,0,7.9641,0,0
2.5806,0,0,0.030244,0.030244,0,7.9042,0,0
2.2719,0,0,0.032357,0.032357,0,7.8443,0,0
2.611,0,0,0.031357,0.031357,0,7.7844,0,0
2.6619,0,0,0.029375,0.029375,0,7.7246,0,0
2.745,0,0,0.030185,0.030185,0,7.6647,0,0
2.4721,0,0,0.032621,0.032621,0,7.6048,0,0
2.507,0,0,0.0281,0.0281,0,7.5449,0,0
3.0761,0,0,0.025802,0.025802,0,7.485,0,0
2.1952,0,0,0.028941,0.028941,0,7.4251,0,0
2.5184,0,0,0.026585,0.026585,0,7.3653,0,0
2.226,0,0,0.030013,0.030013,0,7.3054,0,0
2.4221,0,0,0.029936,0.029936,0,7.2455,0,0
2.7007,0,0,0.026899,0.026899,0,7.1856,0,0
2.7113,0,0,0.02738,0.02738,0,7.1257,0,0
2.4793,0,0,0.029192,0.029192,0,7.0659,0,0
2.4764,0,0,0.025043,0.025043,0,7.006,0,0
